cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Primary complete-case cohort,TeamA,P1,3,1.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7558588931697874,1.0366455972112336
Primary complete-case cohort,TeamA,P1,3,10.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7553775219298576,1.0362475787765943
Primary complete-case cohort,TeamA,P1,3,100.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7510088364666307,1.0327719082988585
Primary complete-case cohort,TeamA,P1,3,1000.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7354786618388315,1.0213462610146198
Primary complete-case cohort,TeamA,P1,3,10000.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7456065914356315,1.040888833354839
Primary complete-case cohort,TeamA,P1,3,100000.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7678393386866565,1.0801279018251677
Primary complete-case cohort,TeamA,P2,1,0.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.839989150768196,1.1978953706729658
Primary complete-case cohort,TeamA,P2,1,0.0001,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8399891419881619,1.1978953600531832
Primary complete-case cohort,TeamA,P2,1,0.001,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8399890629679299,1.197895264475285
Primary complete-case cohort,TeamA,P2,1,0.01,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8399882727730117,1.1978943087103808
Primary complete-case cohort,TeamA,P2,1,0.1,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8399803715641282,1.1978847524690788
Primary complete-case cohort,TeamA,P2,1,1.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8399014334316725,1.1977893306303982
Primary complete-case cohort,TeamA,P2,1,10.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8391203198277328,1.1968489727677551
Primary complete-case cohort,TeamA,P2,1,100.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8329366314391858,1.1886582403325903
Primary complete-case cohort,TeamA,P2,1,1000.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8158131298531226,1.1559684016878924
Primary complete-case cohort,TeamA,P2,1,10000.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8380057515554442,1.1443192402107616
Primary complete-case cohort,TeamA,P2,1,100000.0,2020,722,2020-08-23,2020-10-05,28,population prediction plus reset sequential residual adaptation,0.8616691957765303,1.1601617646429023
Primary complete-case cohort,TeamA,P2,2,0.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8087785470258863,1.1243746322259385
Primary complete-case cohort,TeamA,P2,2,0.0001,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8087785408783233,1.1243746249587676
Primary complete-case cohort,TeamA,P2,2,0.001,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8087784855502933,1.1243745595543007
Primary complete-case cohort,TeamA,P2,2,0.01,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8087779322735442,1.1243739055166473
Primary complete-case cohort,TeamA,P2,2,0.1,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8087723998612544,1.1243673658416238
Primary complete-case cohort,TeamA,P2,2,1.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8087171112319327,1.1243020391680527
Primary complete-case cohort,TeamA,P2,2,10.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8081677480498038,1.1236557066417676
Primary complete-case cohort,TeamA,P2,2,100.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.8032735628476458,1.1178191356744698
Primary complete-case cohort,TeamA,P2,2,1000.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.778503842843387,1.0894679144221942
Primary complete-case cohort,TeamA,P2,2,10000.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7667327525262213,1.0637524695300142
Primary complete-case cohort,TeamA,P2,2,100000.0,2742,625,2020-10-06,2020-11-17,28,population prediction plus reset sequential residual adaptation,0.7750439595277151,1.0719954674261822
Primary complete-case cohort,TeamA,P2,3,0.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7536793574035203,1.0439172808295516
Primary complete-case cohort,TeamA,P2,3,0.0001,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7536793537837335,1.0439172774573964
Primary complete-case cohort,TeamA,P2,3,0.001,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7536793212056682,1.0439172471080407
Primary complete-case cohort,TeamA,P2,3,0.01,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7536789954266094,1.0439169436184652
Primary complete-case cohort,TeamA,P2,3,0.1,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7536757377955462,1.0439139091207301
Primary complete-case cohort,TeamA,P2,3,1.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7536431774277542,1.043883603904844
Primary complete-case cohort,TeamA,P2,3,10.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7533255161966839,1.0435844877472087
Primary complete-case cohort,TeamA,P2,3,100.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7503492171082862,1.0409501909127
Primary complete-case cohort,TeamA,P2,3,1000.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7377515935116999,1.0315732533869362
Primary complete-case cohort,TeamA,P2,3,10000.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7446265772813129,1.0472636251058265
Primary complete-case cohort,TeamA,P2,3,100000.0,3367,445,2020-11-18,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.7680775110600349,1.0821411839331019
