cohort,source_team,model_code,fold,alpha,train_rows,validation_rows,validation_start,validation_end,residual_window_observations,tuning_pipeline,MAE,RMSE
Missingness-aware cohort,TeamB,P0,3,0.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5719420586588854,0.9431931289734317
Missingness-aware cohort,TeamB,P0,3,0.0001,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5719420524656151,0.9431931138900984
Missingness-aware cohort,TeamB,P0,3,0.001,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5719419967262097,0.9431929781401872
Missingness-aware cohort,TeamB,P0,3,0.01,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.571941439334719,0.9431916206497041
Missingness-aware cohort,TeamB,P0,3,0.1,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.571935865676222,0.9431780466077608
Missingness-aware cohort,TeamB,P0,3,1.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5718801547202436,0.943042392429809
Missingness-aware cohort,TeamB,P0,3,10.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5713255962171836,0.9416944277433358
Missingness-aware cohort,TeamB,P0,3,100.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5660238002265616,0.9290276996260334
Missingness-aware cohort,TeamB,P0,3,1000.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.5314104461681435,0.854101328722757
Missingness-aware cohort,TeamB,P0,3,10000.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.49839614778232366,0.784475289631137
Missingness-aware cohort,TeamB,P0,3,100000.0,2152,260,2020-10-29,2020-12-31,28,population prediction plus reset sequential residual adaptation,0.4970192684974785,0.7843538368415168
